,full_name,id,contained_within,country,country_code,geo,name,place_type
c0b8e8dc81930292,"Baltimore, MD",c0b8e8dc81930292,[],,,"{'type': 'Feature', 'bbox': [-76.7115205, 39.197211, -76.529443, 39.372215], 'properties': {}}",,city
3df4f427b5a60fea,"San Antonio, TX",3df4f427b5a60fea,[],,,"{'type': 'Feature', 'bbox': [-98.778559, 29.141956, -98.302744, 29.693046], 'properties': {}}",,city
b71fac2ee9792cbe,"Sacramento, CA",b71fac2ee9792cbe,[],,,"{'type': 'Feature', 'bbox': [-121.576613, 38.43792, -121.362715, 38.6855236], 'properties': {}}",,city
dd9c503d6c35364b,"Pennsylvania, USA",dd9c503d6c35364b,[],,,"{'type': 'Feature', 'bbox': [-80.519851, 39.719801, -74.689517, 42.516072], 'properties': {}}",,admin
24a53a1880093fa9,"Winston-Salem, NC",24a53a1880093fa9,[],,,"{'type': 'Feature', 'bbox': [-80.389019, 35.9341262, -80.100949, 36.240211], 'properties': {}}",,city
d73cbce54317ffaa,"Westmont, IL",d73cbce54317ffaa,[],,,"{'type': 'Feature', 'bbox': [-87.9942499, 41.7637894, -87.9453887, 41.8250158], 'properties': {}}",,city
a6af648ddff22b3b,"Streamwood, IL",a6af648ddff22b3b,[],,,"{'type': 'Feature', 'bbox': [-88.230526, 41.989279, -88.138345, 42.066971], 'properties': {}}",,city
b8018050c8b66e62,"South Charleston, WV",b8018050c8b66e62,[],,,"{'type': 'Feature', 'bbox': [-81.753526, 38.305259, -81.6685409, 38.37459], 'properties': {}}",,city
90c543b181a7c56e,"Statesboro, GA",90c543b181a7c56e,[],,,"{'type': 'Feature', 'bbox': [-81.869986, 32.3604626, -81.731171, 32.520558], 'properties': {}}",,city
0570f015c264cbd9,"St Louis, MO",0570f015c264cbd9,[],,,"{'type': 'Feature', 'bbox': [-90.3205158, 38.5331934, -90.175132, 38.774349], 'properties': {}}",,city
7021e749f1518e43,"Peoria Heights, IL",7021e749f1518e43,[],,,"{'type': 'Feature', 'bbox': [-89.591033, 40.728668, -89.552232, 40.7610612], 'properties': {}}",,city
4eaabc683e109220,"Drexel Hill, PA",4eaabc683e109220,[],,,"{'type': 'Feature', 'bbox': [-75.331497, 39.911076, -75.282044, 39.964566], 'properties': {}}",,city
fbd6d2f5a4e4a15e,"California, USA",fbd6d2f5a4e4a15e,[],,,"{'type': 'Feature', 'bbox': [-124.482003, 32.528832, -114.131212, 42.009519], 'properties': {}}",,admin
e0a72e719203f0a5,"Fort Thomas, KY",e0a72e719203f0a5,[],,,"{'type': 'Feature', 'bbox': [-84.4753375, 39.0511926, -84.432547, 39.1114638], 'properties': {}}",,city
6417871953fa5e86,"Silver Spring, MD",6417871953fa5e86,[],,,"{'type': 'Feature', 'bbox': [-77.064086, 38.979735, -76.97162, 39.036964], 'properties': {}}",,city
7d0b9a4c14df7467,"Flagler Beach, FL",7d0b9a4c14df7467,[],,,"{'type': 'Feature', 'bbox': [-81.152972, 29.421544, -81.10197, 29.509396], 'properties': {}}",,city
00bd609424733145,"North Canton, OH",00bd609424733145,[],,,"{'type': 'Feature', 'bbox': [-81.442077, 40.8531291, -81.323313, 40.917247], 'properties': {}}",,city
e86b380cfefcced5,"Connecticut, USA",e86b380cfefcced5,[],,,"{'type': 'Feature', 'bbox': [-73.727776, 40.950918, -71.786994, 42.050588], 'properties': {}}",,admin
836f33ea3edf2a95,"Kinnelon, NJ",836f33ea3edf2a95,[],,,"{'type': 'Feature', 'bbox': [-74.429657, 40.9580228, -74.330977, 41.0330328], 'properties': {}}",,city
00efea4f0eed2bc6,"Harrison, NY",00efea4f0eed2bc6,[],,,"{'type': 'Feature', 'bbox': [-73.753788, 40.959134, -73.684613, 41.079457], 'properties': {}}",,city
e21c8e4914eef2b3,"Colorado, USA",e21c8e4914eef2b3,[],,,"{'type': 'Feature', 'bbox': [-109.060257, 36.992427, -102.041524, 41.003445], 'properties': {}}",,admin
dc25bb079ef6daf2,"Anderson, IN",dc25bb079ef6daf2,[],,,"{'type': 'Feature', 'bbox': [-85.7494184, 40.031713, -85.5958361, 40.179084], 'properties': {}}",,city
07d9ea7128082001,CMG 95.7FM AM1290 News Talk Radio WHIO,07d9ea7128082001,[],,,"{'type': 'Feature', 'bbox': [-84.18646583141127, 39.7368926930025, -84.18646583141127, 39.7368926930025], 'properties': {}}",,poi
5d7310873de470f7,"Keene, NH",5d7310873de470f7,[],,,"{'type': 'Feature', 'bbox': [-72.347356, 42.9109548, -72.2219364, 42.982474], 'properties': {}}",,city
99700cd6fc455c13,"Hammond, IN",99700cd6fc455c13,[],,,"{'type': 'Feature', 'bbox': [-87.525341, 41.566265, -87.432288, 41.710116], 'properties': {}}",,city
319ee7b36c9149da,"Arlington, VA",319ee7b36c9149da,[],,,"{'type': 'Feature', 'bbox': [-77.172219, 38.827378, -77.031779, 38.934311], 'properties': {}}",,city
3b0eea538598dc42,"Novato, CA",3b0eea538598dc42,[],,,"{'type': 'Feature', 'bbox': [-122.62422, 38.039015, -122.486658, 38.147701], 'properties': {}}",,city
00c44eeb126d2fcd,"Round Rock, TX",00c44eeb126d2fcd,[],,,"{'type': 'Feature', 'bbox': [-97.755394, 30.4684424, -97.59007, 30.5702392], 'properties': {}}",,city
